HHID,TIME,PASTA,EXPOS,AGE,INCOME,AREA
1,1,0.939444279331031,1,61.7107579009607,25186.7987723292,3
1,2,2.5609686389518,2,61.7107579009607,25186.7987723292,3
1,3,0.901123323210276,0,61.7107579009607,25186.7987723292,3
1,4,1.91653001196651,1,61.7107579009607,25186.7987723292,3
1,5,1.54875103610479,0,61.7107579009607,25186.7987723292,3
1,6,2.16940497040802,0,61.7107579009607,25186.7987723292,3
1,7,2.80470241626694,0,61.7107579009607,25186.7987723292,3
1,8,2.28801347047973,0,61.7107579009607,25186.7987723292,3
1,9,2.26332558091365,0,61.7107579009607,25186.7987723292,3
1,10,1.35700961522873,1,61.7107579009607,25186.7987723292,3
1,11,1.88009937436901,1,61.7107579009607,25186.7987723292,3
1,12,2.30581275209835,0,61.7107579009607,25186.7987723292,3
1,13,1.10424963668752,0,61.7107579009607,25186.7987723292,3
1,14,1.71895053520124,1,61.7107579009607,25186.7987723292,3
1,15,1.40523104681121,0,61.7107579009607,25186.7987723292,3
1,16,3.54769054528736,0,61.7107579009607,25186.7987723292,3
1,17,3.01214303011097,0,61.7107579009607,25186.7987723292,3
1,18,1.86737674373678,1,61.7107579009607,25186.7987723292,3
1,19,3.76310182143654,0,61.7107579009607,25186.7987723292,3
1,20,3.17033324033455,1,61.7107579009607,25186.7987723292,3
2,1,1.3165477213111,0,42.1883929686155,23946.7854271657,3
2,2,0.998392511080919,2,42.1883929686155,23946.7854271657,3
2,3,2.40944447342189,1,42.1883929686155,23946.7854271657,3
2,4,2.49663269240306,0,42.1883929686155,23946.7854271657,3
2,5,1.75409459814618,1,42.1883929686155,23946.7854271657,3
2,6,1.66027719416967,0,42.1883929686155,23946.7854271657,3
2,7,3.67182250673648,1,42.1883929686155,23946.7854271657,3
2,8,1.76648120353179,1,42.1883929686155,23946.7854271657,3
2,9,2.79257623475621,1,42.1883929686155,23946.7854271657,3
2,10,0.803782594598678,0,42.1883929686155,23946.7854271657,3
2,11,2.28927734013555,1,42.1883929686155,23946.7854271657,3
2,12,2.68315848271252,1,42.1883929686155,23946.7854271657,3
2,13,1.7330471829836,1,42.1883929686155,23946.7854271657,3
2,14,2.69259440027714,0,42.1883929686155,23946.7854271657,3
2,15,2.31909215900428,1,42.1883929686155,23946.7854271657,3
2,16,4.05338621053903,3,42.1883929686155,23946.7854271657,3
2,17,2.53599970622926,0,42.1883929686155,23946.7854271657,3
2,18,1.98901685569945,0,42.1883929686155,23946.7854271657,3
2,19,4.06343257059331,0,42.1883929686155,23946.7854271657,3
2,20,2.32622604741323,1,42.1883929686155,23946.7854271657,3
3,1,0.697272229320529,0,45.9157784443814,13044.663873037,4
3,2,3.65306765561196,1,45.9157784443814,13044.663873037,4
3,3,1.85373371220264,1,45.9157784443814,13044.663873037,4
3,4,1.66795680336779,0,45.9157784443814,13044.663873037,4
3,5,2.2212441312143,1,45.9157784443814,13044.663873037,4
3,6,0.993577335347148,2,45.9157784443814,13044.663873037,4
3,7,0.941390990210998,0,45.9157784443814,13044.663873037,4
3,8,0,0,45.9157784443814,13044.663873037,4
3,9,0.267216974128757,0,45.9157784443814,13044.663873037,4
3,10,2.42482216748405,0,45.9157784443814,13044.663873037,4
3,11,3.06266481958145,0,45.9157784443814,13044.663873037,4
3,12,0.192559406863398,0,45.9157784443814,13044.663873037,4
3,13,2.76337086097703,0,45.9157784443814,13044.663873037,4
3,14,1.56224659787093,1,45.9157784443814,13044.663873037,4
3,15,3.89996531443329,1,45.9157784443814,13044.663873037,4
3,16,3.06334778374636,1,45.9157784443814,13044.663873037,4
3,17,1.22234189635395,0,45.9157784443814,13044.663873037,4
3,18,1.10571376804839,1,45.9157784443814,13044.663873037,4
3,19,4.04615270279461,1,45.9157784443814,13044.663873037,4
3,20,1.86880941697462,0,45.9157784443814,13044.663873037,4
4,1,3.51336602392615,0,45.9862991929986,31759.3070132834,1
4,2,0.87494871814715,0,45.9862991929986,31759.3070132834,1
4,3,3.0538550530796,2,45.9862991929986,31759.3070132834,1
4,4,1.23366977261914,0,45.9862991929986,31759.3070132834,1
4,5,1.08313152654169,0,45.9862991929986,31759.3070132834,1
4,6,0.622548769758476,0,45.9862991929986,31759.3070132834,1
4,7,1.49194332483865,0,45.9862991929986,31759.3070132834,1
4,8,2.38480009601059,1,45.9862991929986,31759.3070132834,1
4,9,2.92360096741348,0,45.9862991929986,31759.3070132834,1
4,10,1.17228172221696,1,45.9862991929986,31759.3070132834,1
